Id,SalePrice
1461,119374.85835349292
1462,149081.79188904894
1463,177866.34842407278
1464,181271.34144919348
1465,196358.90792566922
1466,184858.64191203527
1467,179529.4671816309
1468,166914.97259241375
1469,190356.78271320474
1470,118388.45371771306
1471,191400.49074781558
1472,99653.6534679493
1473,99716.13515519779
1474,150133.09045158565
1475,129003.28044111042
1476,386918.2875011456
1477,266022.0047438575
1478,301776.1149342902
1479,276920.06925803854
1480,487632.4794566155
1481,311766.19411077583
1482,210265.09025791916
1483,170653.45240169682
1484,169142.00773991793
1485,189114.0709082996
1486,202415.41216037993
1487,309679.0949898361
1488,232056.0221380936
1489,203827.07033032685
1490,210953.83041741187
1491,195586.94775974465
1492,88003.86709313703
1493,214304.35166447968
1494,293191.722554322
1495,272834.8138137277
1496,215182.04118987717
1497,175034.94376340372
1498,163848.79541908755
1499,159890.66676200018
1500,157278.61139927764
1501,168206.57228576293
1502,154308.4459681013
1503,292585.45595088444
1504,244073.58846506436
1505,218793.4212628252
1506,179773.4125717192
1507,231669.42256142013
1508,196742.18555154774
1509,158354.69565431005
1510,146748.5909746787
1511,143542.8034078298
1512,166743.68368155096
1513,142757.47636653998
1514,152257.04996535246
1515,192700.4868994653
1516,159938.3767135244
1517,163241.29249912687
1518,130156.80422201329
1519,215734.5926821924
1520,133449.55365959505
1521,134443.8247188683
1522,169745.40908553536
1523,108492.14290649554
1524,126987.2085270599
1525,123343.0218133388
1526,124058.3260463021
1527,108207.41446094034
1528,128358.38766639167
1529,147787.50355141595
1530,175911.3835192821
1531,121468.07692773886
1532,97602.58640470663
1533,141247.69052114047
1534,114447.50117482305
1535,142323.46039115635
1536,116970.11446342393
1537,85651.8934726302
1538,168427.12956456142
1539,224418.03212081586
1540,99407.55003581758
1541,135765.43444953684
1542,129834.19888386765
1543,189220.10722320236
1544,83890.76489202761
1545,109952.27780093678
1546,137576.07706734654
1547,131738.16527569242
1548,128488.05731607557
1549,119559.50949706705
1550,137193.88225533825
1551,111072.50729595887
1552,134708.30336795963
1553,154995.3874275848
1554,110233.46995975875
1555,153426.9685427485
1556,92660.03275460927
1557,111140.13720233992
1558,89751.21287246104
1559,97335.8502013102
1560,136289.41054442243
1561,138839.04984363247
1562,124887.84360884962
1563,120225.488847858
1564,148927.6640574591
1565,154745.2718801297
1566,261808.58286364545
1567,79901.01259504035
1568,210947.17674036254
1569,135015.82778648697
1570,144234.11656877957
1571,128729.22953075313
1572,141870.29499818338
1573,220984.797482387
1574,120960.88141640113
1575,212838.530755232
1576,219354.6421124292
1577,190646.5758923262
1578,147707.04622507314
1579,142284.0271669998
1580,192532.4672133915
1581,143000.51805804012
1582,128048.07526264768
1583,316579.47929320676
1584,231366.76705822058
1585,139995.38174795822
1586,67683.23031862028
1587,112055.30401669184
1588,151877.12835726645
1589,99200.27141904709
1590,132466.73958144247
1591,99615.76056778297
1592,127634.20485767769
1593,131835.26227353557
1594,148578.50284834922
1595,121519.43515170334
1596,210046.43605503062
1597,177853.06580639604
1598,208138.71179183718
1599,189172.0444617449
1600,176238.3706697055
1601,74187.81074195853
1602,109308.94039989522
1603,93212.48023543847
1604,267852.20925257256
1605,258547.0055933501
1606,168900.3406666923
1607,171795.0123252389
1608,212895.70054387685
1609,197420.89340757477
1610,163373.98563180753
1611,155466.29496053682
1612,166403.98387382287
1613,166750.99109584506
1614,128514.94481637189
1615,89381.85417641379
1616,79288.13534633449
1617,89798.71887233964
1618,123421.95776321596
1619,140634.28150075674
1620,166313.70178784395
1621,137128.6971777171
1622,137642.20017962228
1623,280749.80599159666
1624,198339.8372302506
1625,124778.08121170424
1626,177280.89258363302
1627,180844.76265442313
1628,267531.6441033891
1629,183418.95056561084
1630,311263.4508886951
1631,239866.36899209497
1632,272039.0692184804
1633,184225.9537522581
1634,180743.11456680222
1635,180579.28064473416
1636,163487.63717017008
1637,178305.17709628723
1638,195464.65471951128
1639,180795.91417539824
1640,257793.55474799403
1641,177723.66339848578
1642,227058.57875431626
1643,207930.54826671607
1644,226345.84257600998
1645,182203.8957446894
1646,167879.19771133555
1647,161050.9919792454
1648,137418.41212127986
1649,139538.58144495427
1650,123089.53704812162
1651,123097.0404316428
1652,98850.9352476857
1653,103125.61640082367
1654,147340.54352178605
1655,148341.22321258794
1656,143962.1952893334
1657,149619.90976989968
1658,149454.17096413948
1659,133383.80785125832
1660,158839.69144719536
1661,439182.978995036
1662,346264.92386196903
1663,373655.8689224179
1664,423524.9573062356
1665,310801.49928880786
1666,305129.3374765781
1667,366866.95543640526
1668,340352.743662545
1669,308062.8484480559
1670,344816.91462268634
1671,253746.6279492395
1672,476022.88439318317
1673,323464.28480813984
1674,254802.98551086182
1675,186231.2981446683
1676,192606.780397164
1677,210376.09973445168
1678,423305.6167060558
1679,379383.741710098
1680,327057.96289072954
1681,263223.36202708853
1682,303461.7885943147
1683,179503.77572071794
1684,171163.74145965272
1685,172804.0812287944
1686,175201.2008066679
1687,175699.86139547767
1688,191422.64714821614
1689,191610.58891831245
1690,187568.7657072086
1691,180758.8256292524
1692,271663.04200742836
1693,173862.63280848673
1694,182628.55118990262
1695,174251.95895844503
1696,258345.0820261473
1697,173224.89092293836
1698,350853.8980005899
1699,336275.54844113404
1700,246545.60772710998
1701,259470.0351551732
1702,243740.28402215894
1703,243753.527442893
1704,278091.8828107441
1705,251883.57658441138
1706,382822.23573783983
1707,216672.00408752536
1708,204275.285303065
1709,280326.75478099973
1710,225232.78394873627
1711,282081.7368654701
1712,257426.82071828278
1713,244583.22792855086
1714,225357.65436545154
1715,206636.18917589396
1716,180775.90757457848
1717,183949.8035573369
1718,139193.0747294768
1719,212550.96432707927
1720,241141.83675781774
1721,177374.58237431955
1722,133830.44535777008
